user_id,amount,recency,frequency,is_male,viewed_num,bought_num,bought/sum
1013,13752.01,1.0,39,1,30,9,0.23076923076923078
617,753.97,6.0,7,1,6,1,0.14285714285714285
206,4426.74,12.0,31,1,25,6,0.1935483870967742
317,7754.6900000000005,3.0,12,1,9,3,0.25
172,10505.68,5.0,34,1,29,5,0.14705882352941177
536,10022.86,5.0,12,1,11,1,0.08333333333333333
808,35661.21,8.0,20,0,16,4,0.2
204,26425.02,8.0,17,1,13,4,0.23529411764705882
674,4085.16,4.0,7,1,6,1,0.14285714285714285
157,12340.51,3.0,30,0,25,5,0.16666666666666666
950,770.93,1.0,4,1,3,1,0.25
695,7385.320000000001,3.0,35,0,28,7,0.2
663,9731.16,6.0,29,1,22,7,0.2413793103448276
1028,28411.739999999998,4.0,18,1,14,4,0.2222222222222222
959,15610.16,10.0,25,0,18,7,0.28
803,9487.36,15.0,14,1,13,1,0.07142857142857142
937,6596.55,4.0,13,0,9,4,0.3076923076923077
908,5998.65,6.0,14,1,13,1,0.07142857142857142
469,36701.14,6.0,11,1,9,2,0.18181818181818182
713,916.43,26.0,10,0,8,2,0.2
473,1596.28,14.0,18,0,17,1,0.05555555555555555
556,17905.5,4.0,25,1,21,4,0.16
794,14961.47,9.0,21,1,19,2,0.09523809523809523
318,8598.57,4.0,16,1,12,4,0.25
1075,21183.0,5.0,8,1,6,2,0.25
743,42094.06,4.0,32,1,24,8,0.25
611,5350.76,3.0,22,1,19,3,0.13636363636363635
392,2614.56,19.0,3,0,2,1,0.3333333333333333
712,2368.82,1.0,11,1,9,2,0.18181818181818182
304,51720.03,1.0,38,1,32,6,0.15789473684210525
191,5242.79,12.0,16,0,15,1,0.0625
552,48783.26,5.0,32,1,27,5,0.15625
790,21787.1,2.0,46,1,40,6,0.13043478260869565
874,8026.02,7.0,12,0,8,4,0.3333333333333333
349,2422.51,7.0,13,0,11,2,0.15384615384615385
1068,22496.54,2.0,36,1,27,9,0.25
1074,3652.59,3.0,8,0,5,3,0.375
1069,4992.820000000001,4.0,33,0,26,7,0.21212121212121213
404,32664.79,2.0,19,1,14,5,0.2631578947368421
829,5867.09,3.0,15,1,10,5,0.3333333333333333
241,1475.19,18.0,21,0,17,4,0.19047619047619047
481,38614.95,7.0,32,1,27,5,0.15625
463,6734.39,5.0,38,1,35,3,0.07894736842105263
483,9761.34,7.0,20,1,16,4,0.2
1050,208.5,29.0,3,0,2,1,0.3333333333333333
896,39556.68,1.0,29,1,26,3,0.10344827586206896
888,64285.03,8.0,28,0,24,4,0.14285714285714285
138,1705.69,7.0,23,1,19,4,0.17391304347826086
169,3533.43,4.0,36,1,33,3,0.08333333333333333
475,9234.36,2.0,38,0,31,7,0.18421052631578946
1062,1732.74,9.0,24,1,23,1,0.041666666666666664
820,37229.54,12.0,8,1,7,1,0.125
300,46631.29,1.0,41,1,36,5,0.12195121951219512
